basic	10	1985	1108
slab	10	1609	1508
pool	10	1734	1639
pool/slab	10	1634	1443
freel	10	1408	1428
freel/slab	10	1459	1488
basic	100	1639412	1639690
slab	100	909323	909945
pool	100	1865811	1866141
pool/slab	100	2178542	2178879
freel	100	517754	517859
freel/slab	100	496222	496233
basic	1000	1632448	1632598
slab	1000	1005084	1005370
pool	1000	2561992	2562125
pool/slab	1000	1622189	1622410
freel	1000	709613	709568
freel/slab	1000	746302	746330
basic	10000	2432198	2432354
slab	10000	1738117	1738569
pool	10000	3212877	3213109
pool/slab	10000	3985403	3986269
freel	10000	1065627	1065610
freel/slab	10000	1125316	1125406
